source,review_description,rating,review_date,vader_neg,vader_neu,vader_pos,vader_compound,roberta_neg,roberta_neu,roberta_pos,roberta_comp,roberta_comp',Sentiment_read,Category of the subject ,,,accuracy,0.690217391,,category of the subject 
App Store,Don’t like the idea of one company owning all media and this is a bad design,1,7/16/2023,0.184,0.684,0.132,-0.25,0.956284046,0.040614229,0.003101691,-0.95318234,-1,-1,0,,,1,,,
Google Play,❤️🥰,5,7/19/2023,0,1,0,0,0.170584351,0.768609703,0.060805887,-0.109778464,0,,,,,,,,
Google Play,Introduce Hashtags,4,7/11/2023,0,1,0,0,0.117711768,0.769023478,0.113264799,-0.004446968,0,0,5,,,1,,,
Google Play,इंस्टाग्राम में जो यूजरनेम है इसमें अलग से यूजरनेम होने चाहिए,2,7/6/2023,0,1,0,0,0.167345554,0.774503648,0.05815082,-0.109194733,0,,,,,,,,
Google Play,Bad community guidelines,1,7/7/2023,0.636,0.364,0,-0.5423,0.773682058,0.214663729,0.011654241,-0.7620278,-1,-1,7,,,1,,,
Google Play,Better experience 🤪,5,7/7/2023,0,0.408,0.592,0.4404,0.018720681,0.341849148,0.639430225,0.620709538,1,1,0,,,1,,,
Google Play,Mast aplication for Instragram,5,7/11/2023,0,1,0,0,0.06945955,0.81670922,0.113831244,0.044371694,0,1,0,,,0,,,
Google Play,It probably would be a good app if it actually works. When I open it it glitches as soon as I scroll leaving all the posts I've scrolled past in the background. Even when I change tabs to look at my profile it remains. Uninstalling and reinstalling does nothing to solve the issue. Unusable app.,1,7/8/2023,0.03,0.916,0.054,0.32,0.685032725,0.244901925,0.070065364,-0.614967346,-1,-1,2,,,1,,,
Google Play,Useful,4,7/11/2023,0,0,1,0.4404,0.030461753,0.433792531,0.53574574,0.505284011,1,1,0,,,1,,,
Google Play,"Its ok, no way to save pictures.",3,7/6/2023,0.19,0.345,0.466,0.4939,0.124742582,0.574776113,0.30048129,0.175738707,0,0,4,,,1,,,
Google Play,But the fact that the president,5,7/9/2023,0,1,0,0,0.247622758,0.680296659,0.072080597,-0.175542161,0,0,6,,,1,,,
Google Play,✌️,5,7/6/2023,0,1,0,0,0.160909563,0.778416693,0.060673814,-0.100235745,0,,,,,,,,
Google Play,Useless app don't even bother wasting your space and wifi with this bs!!!!,1,7/7/2023,0.153,0.548,0.299,0.3944,0.981818259,0.015390499,0.002791268,-0.979026973,-1,-1,0,,,1,,,
Google Play,Amazing app,5,7/6/2023,0,0.208,0.792,0.5859,0.006296581,0.054532204,0.939171255,0.93287468,1,1,0,,,1,,,
Google Play,"Is like any ""Meta"" products, wasting ur time, making money from u. And yes I still prefer (Twitter) because it keeps me away from all the junk opinions. I'm not a follower 🐑",1,7/7/2023,0.075,0.78,0.145,0.3612,0.276314557,0.434195876,0.289489508,0.013174951,0,-1,3,,,0,,,
Google Play,Very best application for users.,4,7/6/2023,0,0.471,0.529,0.6697,0.00684517,0.068446301,0.924708545,0.917863369,1,1,0,,,1,,,
Google Play,Nice,1,7/11/2023,0,0,1,0.4215,0.066038214,0.354452848,0.57950896,0.513470769,1,1,0,,,1,,,
Google Play,Emporten app,5,7/6/2023,0,1,0,0,0.115656458,0.707013845,0.177329689,0.061673231,0,1,0,,,0,,,
Google Play,😍,5,7/8/2023,0,1,0,0,0.158468187,0.785969317,0.055562492,-0.102905691,0,,,,,,,,
Google Play,"Hiii, could you please add the See the translation, thankyou",5,7/6/2023,0,0.796,0.204,0.3182,0.011251801,0.505137384,0.483610868,0.472359061,0,0,5,,,1,,,
Google Play,Good app,5,7/6/2023,0,0.256,0.744,0.4404,0.007448298,0.064862818,0.927688837,0.920240521,1,1,0,,,1,,,
Google Play,I hope you add hashtages and organise the home page since it's full of people that I don't know(and it's quite messy).,3,7/6/2023,0,0.868,0.132,0.4404,0.619503498,0.315503806,0.064992741,-0.554510772,-1,0,5,3,,0,,,
Google Play,לא עובד יש מלא גליצ'ים,1,7/11/2023,0,1,0,0,0.153495565,0.79931289,0.047191583,-0.106303982,0,,,,,,,,
Google Play,Stop copycat,1,7/7/2023,0.688,0.312,0,-0.296,0.789289415,0.194339424,0.016371222,-0.772918165,-1,-1,13,,,1,,,
Google Play,Nice appe,5,7/13/2023,0,0.263,0.737,0.4215,0.068189204,0.317970335,0.613840461,0.545651257,1,1,0,,,1,,,
Google Play,I haven't used it yet but I hope the app is good.,5,7/9/2023,0,0.51,0.49,0.8271,0.011535497,0.083013833,0.905450642,0.893915117,1,1,0,,,1,,,
Google Play,"Clean, refreshing but confusing",4,7/9/2023,0.379,0.323,0.298,-0.128,0.199572966,0.526857853,0.273569196,0.073996231,0,1,1,7,,0,,,
Google Play,Copy paste app,1,7/8/2023,0,1,0,0,0.166105255,0.758579314,0.07531549,-0.090789765,0,-1,13,,,0,,,
Google Play,Bad,1,7/8/2023,1,0,0,-0.5423,0.495851547,0.406208962,0.097939596,-0.397911966,0,-1,0,,,0,,,
Google Play,Not the greatest could be better. The fact so many accounts exposed how many fake bots they have and ai responses is sad. Fundamentally lazy app,1,7/8/2023,0.373,0.547,0.079,-0.8668,0.919012368,0.072388619,0.008598992,-0.910413384,-1,1,3,,,0,,,
Google Play,Love this app!,5,7/6/2023,0,0.308,0.692,0.6696,0.002068417,0.008136502,0.989795029,0.987726629,1,1,0,,,1,,,
Google Play,Excellent app easier than twitter,5,7/7/2023,0,0.316,0.684,0.7579,0.044565529,0.192977607,0.762456834,0.717891335,1,1,1,,,1,,,
Google Play,Very cool,5,7/6/2023,0,0.278,0.722,0.3804,0.002502233,0.031359516,0.966138184,0.963635921,1,1,0,,,1,,,
Google Play,Nice app,5,7/18/2023,0,0.263,0.737,0.4215,0.012005509,0.084709935,0.903284609,0.891279101,1,1,0,,,1,,,
Google Play,This app was copied from Twitter,5,7/9/2023,0,1,0,0,0.288253397,0.665963411,0.04578314,-0.242470264,0,-1,13,,,0,,,
Google Play,Not ok,1,7/15/2023,0.654,0.346,0,-0.2235,0.915668547,0.077554174,0.006777285,-0.908891261,-1,-1,0,,,1,,,
Google Play,Theards 👍 > tiwtter👎,5,7/10/2023,0,1,0,0,0.213482112,0.733091295,0.053426683,-0.160055429,0,1,0,,,0,,,
Google Play,Twitter 💪,1,7/13/2023,0,1,0,0,0.224117666,0.725311518,0.05057079,-0.17354688,0,,,,,,,,
Google Play,Sick. Twitter is dead.,5,7/7/2023,0.792,0.208,0,-0.8225,0.961153984,0.033808935,0.005037066,-0.956116915,-1,1,0,,,0,,,
Google Play,I would like them to show only my followings in my feed or related to my interests rather than a total bunch of unknowns...,3,7/7/2023,0,0.816,0.184,0.5423,0.141383767,0.74788481,0.11073146,-0.030652307,0,0,3,5,,1,,,
Google Play,First day,5,7/6/2023,0,1,0,0,0.164881334,0.624972165,0.210146472,0.045265138,0,0,0,,,1,,,
Google Play,Very very most useful app,5,7/7/2023,0,0.517,0.483,0.5768,0.002882591,0.02058496,0.976532459,0.973649859,1,1,0,,,1,,,
Google Play,It's good. You should have a way to stop videos auto playing especially when using mobile phone data.,4,7/7/2023,0.105,0.67,0.225,0.3612,0.055967659,0.301280856,0.642751515,0.586783886,1,1,9,,,1,,,
App Store,"App has worked seamlessly, still has some growing to do but, for now, is a must have must use.",5,7/6/2023 19:49,0,0.926,0.074,0.09,0.003861764,0.059914619,0.936223686,0.932361901,1,1,0,,,1,,,
